#,Väljaanne,Kaebuse sisu,Lahendi kuupäev,Lahendi liik,Otsuse sisu,Koodeks,Väljaande nimi
 787 , Õhtuleht 06.12.17 Puuküürnikuga kimpus üürileandja: See oli algusest peale üks labane petuskeem! ," Kaebaja hinnangul on artikli pealkiri eksitav ja sildistav. Kaebaja leiab, et artikkel sisaldab valeväiteid. ",01.03.18,õigeksmõistev,"ÕIGEKSMÕISTEV: Õhtuleht ei ole eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul ei ole artikli pealkiri eksitav, sest see võtab loo sisu kokku, tsiteerides muu hulgas ajakirjanikule öeldut. Pressinõukogu leiab, et ka osapooled on saanud sõna. ",[],Õhtuleht
 785 , Postimees 02.12.17 Tiina Park: kuidas minust sai seksuaalne ahistaja ," Kaebaja leiab, et artikkel sisaldab tema kohta valet. Samuti ei ole kaebaja rahul, et talle sõna ei antud. ",01.03.18,õigeksmõistev,ÕIGEKSMÕISTEV: Postimehe veeb ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul ei ole artiklis esitatud Markus Larssoni suhtes süüdistusi ja seetõttu ei olnud otsest põhjust talle eraldi sõna anda. ,[],Postimees
 784 , Eesti Ekspress 29.11.17 Spordimehe surm ," Kaebaja ei ole rahul, et artikkel vaatamata tema keelule ilmus. Kaebaja leiab, et artikliga on tekitatud põhjendamata kannatusi, avaldatud eraelu puutumatust rikkuvaid materjale ja identifitseeritud asjaosalised. ",01.03.18,õigeksmõistev," ÕIGEKSMÕISTEV: Ekspress ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on hukkunu tuvastatav vaid lähedasetele. Samuti olid lähedased juhtunust alguses ise nõus ajakirjanikuga rääkima. Kuigi artikkel keskendub peamiselt vaid üksikjuhtumile, on teema vastu avalik huvi olemas. ",[],Eesti Ekspress
 783 , Delfi vene keeles 15.09.17 Garantiiremont õnnestus tänu lehe sekkumisele ," Kaebaja hinnangul on loo pealkiri vale, sest tegelikkuses garantiiremonti ei tehtud. ",01.02.18,tauniv,"TAUNIV: Delfi rikkus ajakirjanduseetika koodeksi punkti 1.4., mis näeb ette, et ajakirjandusorganisatsioon kannab hoolt selle eest, et ei ilmuks ebatäpne, moonutatud või eksitav info. Pressinõukogu arvetes oli artikli pealkiri eksitav, sest garantiiremonti ei toimunud. ",['1.4'],Delfi
 782 , Stolitsa 06.11.17 Juhtkiri ," Kaebaja leiab, et artikkel sisaldab tema kohta valet. ",01.02.18,tauniv,"TAUNIV: Stolitsa rikkus ajakirjanduseetika koodeksi punkti 1.4., mis näeb ette, et ajakirjandusorganisatsioon kannab hoolt selle eest, et ei ilmuks ebatäpne, moonutatud või eksitav info. Pressinõukogu leiab, et Stolitsa oleks pidanud juhtkirja tekstis selgemalt välja tooma, et Ivan Makarovile omistatud ütlused ei ole faktiväited, vaid irooniline tõlgendus Makarovi artiklist, mida Stolitsa lugejad tõenäoliselt lugenud pole. ",['1.4'],Stolitsa
 779 , Postimees 24.11.17 Artiklid ajavahemikus 24.10-3.11. kiire interneti rajamise projekti kohta ," Kaebaja hinnangul sisaldasid artiklid moonutatud ja eksitavat infot. Kaebaja leiab, et info tõesust ei ole kontrollitud ning uudised ei ole arvamustest eristatavad. Kaebaja leiab, et 25. oktoobri artikli pealkiri on auditooriumit eksitav. ",01.02.18,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 4.1., mis näeb ette, et uudised, arvamused ja oletused olgu selgelt eristatavad ja uudismaterjal põhinegu tõestataval ja tõenditega tagatud faktilisel infol. ",['4.1'],Postimees
 777 , Saarte Hääl 30.09.17 Võõrale põllule eksinud traktor tõi tüli majja ," Kaebaja ei ole rahul, et artiklis ei ole kajastatud tema poolt ajakirjanikule esitatud fakte ega seisukohti. Kaebaja leiab, et artikli autor on loos kajastatud ühe osapoole teenistuses ja ei saa olla seega sõltumatu. Kaebaja ei ole rahul ka sellega, et artiklis on avaldatud erakiri. ",14.12.17,õigeksmõistev,"ÕIGEKSMÕISTEV: Leht ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on kaebaja saanud artiklis sõna, loos on viidatud tema kirjadele ja nendes olevad väited kontrollis ajakirjanik kaebajalt üle telefoni teel. ",[],Saarte Hääl
 776 , Tartu Postimees 01.11.17 Kaspar Koort: põhimõtted ja paljas perse ," Kaebaja leiab, et artikkel sisaldab valeväiteid ning on teda halvustav ja ründav. Kaebaja ei ole rahul, et talle sõna ei antud. ",01.02.18,õigeksmõistev,"ÕIGEKSMÕISTEV: Leht ei eksinud ajakirjanduseetika koodeksi vastu. Kuna tegemist on arvamusartikliga, siis on ajakirjanikul õigus oma hinnanguid kaebaja tegevuse kohta avaldada. Kaebuses ei ole välja toodud ebaõigeid faktiväiteid, vaid on viidatud autori kriitilistele hinnangutele. ",[],Postimees
 775 , MK-Estonia 14.11.17 Üheksa-aastase Kohtla-Järve tüdruku võitlus onkoloogiaga , Kaebaja hinnangul sisaldab artikkel haigla kohta tõele mittevastavaid fakte. ,14.12.17,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 1.4., mis näeb ette, et ajakirjandusorganisatsioon kannab hoolt selle eest, et ei ilmuks ebatäpne, moonutatud või eksitav info. Samuti rikkus leht punkti 3.5., mis näeb ette, et toimetus kontrollib, eelkõige kriitilise materjali korral, info tõesust ja allikate usaldusväärsust. Pressinõukogu hinnangul oleks pidanud leht tütarlapse sugulaste väite opereerimise kohta Ida-Viru Keskhaiglast üle kontrollima. Samuti rikkus leht koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu hinnangul sisaldas artikkel kaebaja aadressil tõsist süüdistust ja seetõttu oleks pidanud Ida-Viru Keskhaiglale sõna andma. ","['1.4', '3.5', '4.2']",MK-Estonia
 774 , Saarte Hääl 03.11.17 Sõrulane tahtis ristida osa kodukohast Sigademaaks ," Kaebaja ei ole rahul, et leht avaldas info vaatamata tema keelule. Samuti pole kaebaja rahul oma nime käänamisega artiklis. ",14.12.17,õigeksmõistev,ÕIGEKSMÕISTEV: Saarte Hääl ei ole eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul ei ole kaebaja kirjast võimalik välja lugeda info avaldamise keeldu. Kaebaja perekonnanime on toimetus artiklis juba 6. novembril parandanud. ,[],Saarte Hääl
 773 ," Delfi 01.11.17 Mihhail Kõlvarti valimisvõidu saladus: Stolitsa kirjutas enne valimisi 11 lugu, kuidas Kõlvart muretseb Tallinnas elavate punaveteranide pärast ", Kaebaja hinnangul on artikli pealkiri eksitav. Lisaks sisaldab artikkel tõestamata ja põhjendamata infot. ,14.12.17,õigeksmõistev,"ÕIGEKSMÕISTEV: Delfi ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu arvates ei esitle Delfi artiklit kui teaduslikku analüüsi, vaid kokkuvõtet Stolitsa lugudest, mis räägivad Mihhail Kõlvartist ja sõjaveteranidest. Lugeja saab Delfi artikli põhjal ise otsustada, kas ta nõustub Delfi tõlgendusega või mitte. ",[],Delfi
 770 , Hiiu Leht 19.09.17 KOV ettevõtluslaene anda ei tohi; Hiiu Lehe küsitlust hakti jälle ," Mõlema artikli puhul ei ole kaebaja rahul, et talle ei antud sõna. ",14.12.17,õigeksmõistev,"ÕIGEKSMÕISTEV: Leht ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul ei ole esimeses loos kaebajat nimetatud ega tema kohta süüdistusi esitatud ja seetõttu puudus vajadus talle sõna anda. Häkkimise loos ei nimetanud leht uudisloos Keith Siilatsi nime. Seda tehti alles 17. oktoobri juhtkirjas, milles on toimetusel õigus seisukohta avaldada. ",[],Hiiu Leht
 769 , Vooremaa 14.10.17 Koseveskil kogub tuure konflikt kohalike ja puhkekeskuse ostnud ettevõtja vahel ," Kaebaja leiab, et artikkel sisaldab ebatäpset infot. Kaebaja ei ole rahul, et artiklis avalikustati tema nimi ja et elanikele sõna ei antud. ",30.11.17,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu hinnangul on kaebajast tehtud konflikti osapool sellega, et tema nimi on ainsana valla elanikest välja toodud. Seetõttu oleks pidanud kaebajale artiklis ka sõna andma. ",['4.2'],Vooremaa
 768 , Virumaa Teataja 04.10.17 Rakvere kohtumaja varjas endist töötajat ," Kaebaja leiab, et artikkel ja selle pealkiri on pahatahtlik ja laimav. ",30.11.17,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 4.11., mis näeb ette, et pealkirjad ei või auditooriumi eksitada. Samuti rikkus leht koodeksi punkti 4.1., mis näeb ette, et uudised, arvamused ja oletused olgu selgelt eristatavad ning uudismaterjal põhinegu tõestataval ja tõenditega tagatud faktilisel infol. ","['4.11', '4.1']",Virumaa Teataja
 767 , Delfi 16.10.17 Raju video: ," Kaebaja hinnangul sisaldab artikkel valet ja laimu. Lisaks ei ole kaebaja rahul, et tema vastulauset ei avaldatud. ",30.11.17,tauniv,"TAUNIV: Delfi rikkus ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Samuti rikkus Delfi koodeksi punkti 5.1., mis näeb ette, et kui kellegi kohta avaldatakse tõsiseid süüdistusi, tuleks talle pakkuda kommentaari võimalust. Kuna Reio Laurits oli üks konflikti osapooltest ja tema kohta esitati süüdistusi, siis oleks pidanud küsima ka tema kommentaari. Pressinõukogu hinnangul oleks pidanud kaebaja saama võimaluse ka vastulauseks. ","['4.2', '5.1']",Delfi
 764 , Õhtuleht 05.10.17 Oskamatus suhelda tekitas abivajaja ja sotsiaaltöötajate vahel paksu pahandust ," Kaebaja ei ole rahul, et leht avaldas artikli vaatamata tema keelule. Samuti sisaldab artikkel kaebaja hinnangul valeväiteid. ",30.11.17,õigeksmõistev,"ÕIGEKSMÕISTEV: Pressinõukogu hinnangul olid osapooled teadlikud, et nad suhtlevad ajakirjanikuga ja et ajakirjanik kirjutab lugu. Lisaks on artiklis saanud osapooled võrdses mahus sõna ja teise poole esitatud süüdistustele vastata. ",[],Õhtuleht
 761 , Õhtuleht 07.09.17 Sappi täis bussijuht kostitas koolilast rämedasõnalise sõimuga ," Kaebaja hinnangul sisaldab artikkel ebaõiget infot. Samuti ei ole kaebaja rahul, et sõna ei saanud. ",30.11.17,tauniv,"TAUNIV: Õhtuleht rikkus ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu hinnangul oli bussijuht konflikti osapool, kelle kohta esitati tõsiseid süüdistusi ja kuna tegemist ei olnud ajakriitilise materjaliga, siis oleks pidanud võtma kommentaari ka bussijuhilt ja kaebajalt. Samuti rikkus Õhtuleht ajakirjanduseetika koodeksi punkti 3.5., mis näeb ette, et toimetus kontrollib, eelkõige kriitilise materjali korral, info tõesust ja allikate usaldusväärsust. ","['4.2', '3.5']",Õhtuleht
 759 , Eesti Ekspress 23.08.17 Nädala tipp: Paadunud üürivõlglase kodus peitus varandus; Peitu pugenud kunstnik paneb maalid müüki ," Kaebajate hinnangul on esimene artikkel kallutatud, sisaldab valesid faktiväiteid ja selle pealkiri on eksitav. Kaebajad ei ole rahul, et neile teises artiklis sõna ei antud. Samuti peavad kaebajad teise artikli pealkirja eksitavaks ja leiavad, et lugu sisaldab valet. ",30.11.17,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu hinnangul räägivad mõlemad artiklid Märt Bormeistrist, kuid artiklites ei ole Märt Bormeistri kommentaare ning lugejaid ei ole ka teavitatud sellest, kas ja mil viisil püüdis ajakirjanik Märt Bormeistrilt kommentaari saada. Teistes ajakirjanduseetika koodeksi punktides rikkumist ei ole. ",['4.2'],Eesti Ekspress
 758 , Tartu Postimees 12.09.17 Külaselts jäi vallale ja krossiraja arendajale alla ," Kaebaja hinnangul sialdab artikkel kontrollimata ja ebaõigeid fakte ja väiteid. Kaebaja ei ole rahul, et talle sõna ei antud. ",26.10.17,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled ja punkti 5.1., mis näeb ette, et kui kellegi kohta avaldatakse tõsiseid süüdistusi, tuleks talle pakkuda kommentaari võimalust samas numbris. Pressinõukogu hinnangul oli kinnistu omanik ja krossiraja arendaja konflikti osapool, kelle kohta on esitatud ka süüdistusi ja seetõttu oleks pidanud leht kaebajale sõna andma. ","['4.2', '5.1']",Postimees
 757 , Eesti Päevaleht 16.08.17 Riik laiendas toitlustusäri: peale ERM-i tegutseb riigirestoran ka Narvas ," Kaebaja hinnangul sisaldab artikkel valeväiteid. Samuti ei ole kaebaja rahul, et leht ei avaldanud nende vastulauset. ",26.10.17,tauniv,"TAUNIV: Päevaleht rikkus ajakirjanduseetika koodeksi punkti 5.1., mis näeb ette, et kui kellegi kohta avaldatakse tõsiseid süüdistusi, tuleks talle pakkuda kommentaari võimalust samas numbris. Pressinõukogu ei pea auditi tsiteerimist piisavaks ja seepärast oleks pidanud sõna andma muuseumi esindajale, et muuseum saanuks midagi enda kaitseks öelda. ",['5.1'],Eesti Päevaleht
 756 , LõunaLeht 31.08.17 Hoiualal omavolitsenud mees seljatas riigi , Kaebaja hinnangul sisaldab artikkel valet ja faktivigu. ,26.10.17,õigeksmõistev,ÕIGEKSMÕISTEV: LõunaLeht ei ole eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu ei näe põhjust kahelda telefonivestluse käigus Elmer Hõraku telefonist öeldus. ,[],LõunaLeht
 753 , Virumaa Teataja 10.08.17 Pedassaarel asendus avaliku parkla märk üle öö eramaa sildiga ," Kaebaja leiab, et artikkel sisaldab valeinfot. Samuti ei ole kaebaja rahul, et temaga ei räägitud ja ta vastulause avaldati poolikult. ",26.10.17,tauniv,"TAUNIV: Virumaa Teataja rikkus artikliga ajakirjanduseetika koodeksi punkti 4.2., mis ütleb, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu hinnangul kajastab artikkel konflikti ja üks selle osapooltest (kaebaja) tunneb, et temast on jäetud vale mulje. Seetõttu oleks pidanud toimetus ära kuulama kaebaja seisukoha, mis oleks aidanud ära hoida artiklis esinevad väidetavad ebatäpsused. ",['4.2'],Virumaa Teataja
 752 , Saarte Hääl 19.08.17 Heiki Hanso veeõnnetusest: olin süüdi ja sain õppetunni ," Kaebaja leiab, et artikkel sisaldab vigu. ",26.10.17,õigeksmõistev,"ÕIGEKSMÕISTEV: Leht ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on artiklis sõna saanud kõik osapooled, nende jutt on kooskõlas ja seetõttu pole alust kummagi poole väidetes kahelda. ",[],Saarte Hääl
 748 , Delfi 02.08.17 Armutult rootslasi kooriva petise jäljed kaovad Tallinnas Tatari tänaval ," Kaebaja hinnangul sisaldab artikkel alusetuid süüdistusi ja kahjustab tema mainet. Samuti ei ole kaebaja rahul, et talle sõna ei antud. ",26.10.17,õigeksmõistev,"ÕIGEKSMÕISTEV: Delfi ei ole eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul tugineb artikkel Rootsi äripettuste vastu võitleva organisatsiooni infol, milles pole alust kahelda. Lisaks üritas ajakirjanik saada kaebajaga ühendust, kuid see ei õnnestunud. ",[],Delfi
 747 , Eesti Päevaleht 31.05.17 Hambaarst kasutab patsiantidel absurdset imemasinat ," Kaebajad leiavad, et artikkel sisaldab ebaõiget ja eksitavat infot ning nad ei ole rahul, et leht ei avaldanud vastulauset. ",26.10.17,tauniv,"TAUNIV: Päevaleht rikkus ajakirjanduseetika koodeksi punkti 4.1., mis näeb ette, et uudised, arvamused ja oletused olgu selgelt eristatavad. Pressinõukogu arvates on artiklis olev sõna „absurdne“ ajakirjaniku hinnang, mis artiklis tõestamist ei leia. ",['4.1'],Eesti Päevaleht
 746 , Põhjarannik 21.07.17 Tamm keelitab Stalnuhhinit kandideerima ," Kaebaja hinnangul on artikli pealkiri eksitav, alapealkirjad ei vasta tõele ja loos on väiteid, mida kaebaja ei ole öelnud. ",26.10.17,õigeksmõistev,"ÕIGEKSMÕISTEV: Leht ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul ei ole artikli pealkiri ega alapealkiri eksitavad, sest need on kooskõlas artikli sisuga ja kaebaja poolt ajakirjanikule öelduga. ",[],Põhjarannik
 745 , Delfi 17.07.17 Yana Toom: Krimm on Venemaa tõhusa kontrolli all! Väljastage sealsetele elanikele Schengeni viisad ," Kaebaja märgib, et uudise aluseks olev pressiteade ei sisaldanud hinnanguid, hüüumärki ega üleskutset. Kaebaja leiab, et seetõttu on uudise pealkiri eksitav. ",26.10.17,tauniv,"TAUNIV: Delfi rikkus ajakirjanduseetika koodeksi punkti 4.11., mis näeb ette, et pealkirjad ei või auditooriumi eksitada. Pressinõukogu hinnangul on arupärimine üle interpreteeritud ja pealkirja teine lause jätab mulje, et tegemist on poliitilise avaldusega, mis on aga lugejaid eksitav. ",['4.11'],Delfi
 744 , Vooremaa 13.07.17 Palamuse lasteaed neelab kõik ühendomavalitsuse investeeringud ," Kaebaja hinnangul sisaldab artikkel eksitavat infot, on valda laimav ja elanikke eksitav. ",26.10.17,õigeksmõistev,"ÕIGEKSMÕISTEV: Leht ei rikkunud ajakirjanduseetika koodeksit, sest on sõna andnud erinevatele osapooltele, sealhulgas ka Palamuse valla esindajale. Pressinõukogu hinnangul võinuks Palamuse vallavanem lehele sisulise vastuse anda, mitte viidata järgmisel päeval dokumendiregistrisse ilmuvale dokumendile. ",[],Vooremaa
 743 , Elu24 17.07.17 Spekulatsioon: kas Helen magab selle nägusa SkyPlusi diskoriga? , Kaebaja hinnangul ei ole artiklis esitatud spekulatsioonid tõestatud ja talle ei antud võimalust teemat kommenteerida. ,21.09.17,tauniv,"TAUNIV: Postimehe veeb rikkus ajakirjanduseetika koodeksi punkti 1.4., mis näeb ette, et ajakirjandusorganisatsioon kannab hoolt selle eest, et ei ilmuks ebatäpne, moonutatud või eksitav info. Pressinõukogu hinnangul on artikliga tungitud Simon Suviste eraellu ja esitatud spekulatsioone. ",['1.4'],Elu24
 740 , Postimehe veeb 15.06.17 Olev Remsu: Eestit halvavad parteilised ja rahvuslikud valikud , Kaebaja hinnangul sisaldab artikkel Stolitsa kohta valeinfot. ,21.09.17,õigeksmõistev,"ÕIGEKSMÕISTEV: Postimees ei ole eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on artiklis tehtud üldistus, tegemist on autori arvamusega ning lisaks avaldas leht ka täpsustuse. Lisaks ei ole artiklis märgitud, et autor pidas silmas just Stolitsat. ",[],Postimees
 738 , Postimees 31.05.17 Andrei Kuzitškin: Eesti maksumaksja taob kinni totraid ," Kaebaja leiab, et PBK kohta on avaldatud loos eksitavaid andmeid. ",21.09.17,õigeksmõistev,"ÕIGEKSMÕISTEV: Postimees ei ole rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul oli tegemist veaga, mille väljaanne järgmisel päeval parandas. Parandusele on tähelepanu juhitud ka artikli all. ",[],Postimees
 737 ," Delfi, Eesti Päevaleht 08.06.17 Lehelapsi palganud Ekspress Meedia: minister Ossinovski valetab "," Kaebaja leiab, et ajakirjanik teenib ühe osapoole huve. Samuti ei ole kaebaja rahul, et ajakirjanik ei rääkinud tööinspektsiooniga ja jättis olulise materjali avaldamata. ",21.09.17,tauniv,"TAUNIV: Päevaleht ja Delfi rikkusid ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu hinnangul oleks pidanud artiklis andma sõna Jevgeni Ossinovskile. Samuti rikkusid väljaanded ajakirjanduseetika koodeksi punkti 4.11., mis näeb ette, et pealkirjad ei või auditooriumi eksitada. Pressinõukogu hinnangul on pealkirjas sõna „valetab“ kasutamine liiga kategooriline ja see eksitab lugejaid. ","['4.2', '4.11']",Delfi
 736 , Harju Elu 02.06.17 Harku vald pääses kolepuust? ," Kaebaja leiab, et artikkel sisaldab eksitavat infot. Samuti ei ole kaebaja rahul, et sõna ei saanud. ",21.09.17,tauniv,"TAUNIV: Harju Elu rikkus ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu hinnangul on küll algset vallavalitsuse infolehe teksti refereeritud, kuid artiklis olevale kriitikale ei antud vallavalitsusele võimalust vastata. ",['4.2'],Harju Elu
 735 , Õhtuleht 02.03.17 Kodunt välja visatud mees: see oli nagu noahoop selga! ," Kaebaja leiab, et artikkel sisaldab tema kohta valeinfot ja kahjustab tema mainet. Samuti ei ole kaebaja rahul, et talle sõna ei antud. ",21.09.17,tauniv,"TAUNIV: Õhtuleht rikkus ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu hinnangul oli Veronika üks konflikti osapooltest ja talle oleks pidanud sõna andma. ",['4.2'],Õhtuleht
 733 , Postimehe veeb 25.05.17 Stolitsa vaikib Arvo Sarapuu skandaali maha , Kaebaja hinnangul sisladab artikkel valeinfot. ,15.06.17,tauniv,"TAUNIV: Postimehe veeb rikkus ajakirjanduseetika koodeksi punkti 1.4., mis näeb ette, et ajakirjandusorganisatsioon kannab hoolt selle eest, et ei ilmuks ebatäpne, moonutatud või eksitav info ning punkti 4.2, mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu leiab, et Postimees oleks pidanud „Stolitsa“ esindajale andma omapoolseks selgituseks sõna ja siis oleks tulnud ka välja, et „Stolitsas“ ilmus uudis Arvo Sarapuu kohta. ","['1.4', '4.2']",Postimees
 732 , Eesti Ekspress 22.02.17 ," Kaebaja leiab, et artiklid sisaldavad ebatäpseid ja eksitavaid väiteid. Samuti leiab kaebaja, et artikli autor ei ole Tartu Ülikoolist sõltumatu. ",15.06.17,õigeksmõistev," ÕIGEKSMÕISTEV: Leht ei ole artiklitega eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on konflikti osapoolte seisukohad kajastamist leidnud. Ajakirjanik andis kaebajale võimaluse teema kommenteerimiseks, kuid kaebaja piirdus lühivastustega ja ei selgitanud juhtunut. ",[],Eesti Ekspress
 730 ," Eesti Päevaleht, Delfi 29.03.17 Täismahus: Vaata töölepingut, millega Meelis Pai iseennast linnahalli tööle võttis; Meelis Pai leping iseendaga: 3500 eurot kuus ja iga-aastane palgatõus "," Kaebaja hinnangul on artiklite pealkirjad eksitavad, artiklid sisaldavad eksitavat infot ja allikad ei ole usaldusväärsed. Kaebaja leiab, et teda on artiklites käsitletud kurjategijana. ",15.06.17,tauniv,"TAUNIV: Eesti Päevaleht ja Delfi rikkusid ajakirjanduseetika koodeksi punkti 4.11., mis näeb ette, et pealkirjad ei või auditooriumi eksitada. Pressinõukogu hinnangul on pealkirjad eksitavad, sest Meelis Pai ei ole töölepingus mõlemale poolele alla kirjutanud ja seega ei saa väita, et ta sõlmis lepingu iseendaga. ",['4.11'],Delfi
 729 , Meie Maa 18.04.17 Politsei eksis koorma mõõtmisel ," Kaebaja ei ole rahul, et artiklis avaldati tema nimi ja pilt. ",15.06.17,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 1.5., mis näeb ette, et ajakirjandus ei tohi oma tegevusega kellelegi tekitada põhjendamata kannatusi, veendumata, et avalikkusel on tõesti vaja seda infot teada. Pressinõukogu hinnangul on kaebaja foto avaldamine tema isiku ebaproportsionaalne esile tõstmine. ",['1.5'],Meie Maa
 728 , Stolitsa 10.03.17 Vaatamata haigekassa eelarvedefitsiidile ravib Eesti ka tänavu vigastatud Ukraina sõjaväelasi ," Kaebaja leiab, et loo pealkiri on eksitav ja ei põhine faktilisel infol. ",27.04.17,tauniv,"TAUNIV: Stolitsa rikkus ajakirjanduseetika koodeksi punkti 4.11., mis näeb ette pealkirjad ei või auditooriumi eksitada. Pressinõukogu hinnangul tuleb artiklist endast välja, et sõdurite ravimine ja haigekassa eelarvedefitsiit ei ole omavahel seotud ja seega on nende sidumine pealkirjas lugejaid eksitav. ",['4.11'],Stolitsa
 727 , Saarte Hääl 23.03.17 Turvakodu riputas kassipidaja häbiposti ," Kaebaja ei ole rahul, et leht ei avaldanud vastulauset. Samuti peab kaebaja artiklit ja lehe juhtkirja ebatäpseks ja eksitavaks. ",27.04.17,õigeksmõistev,"ÕIGEKSMÕISTEV: Leht ei ole artikli ja juhtkirjaga eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on mõlemad osapooled saanud sõna. Samuti on tõendatud kaebaja soov panna kassiomanik avalikku häbiposti. Pressinõukogu hinnangul on turvakodu esindajad oma postitusega algatanud kassipidaja häbistamise, millega liitusid postituse kommenteerijad. Seega ei pea paika kaebaja väide, et turvakodu ei ole kedagi soovinud häbistada. ",[],Saarte Hääl
 726 , Venekeelse Postimehe veeb 29.03.17 Kuidas koerad inimesi ründavad: lapsel hakkas peale lasteaias toimunud politsei esitlust halb ," Kaebaja ei ole rahul, et väljaanne avaldas tema Facebooki postituse ilma loata ja kommentaarita. ",27.04.17,õigeksmõistev," ÕIGEKSMÕISTEV: Rus.Postimees ei ole eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul hankis väljaanne Facebooki kinnises grupis tehtud postituse korrektselt, sest üks grupi liige saatis selle toimetusele. Väljaande huvi lasteaias toimunud politseiõppuse vastu oli põhjendatud, sest lastevanemate arvates oli laste tervis ohus. ",[],Postimees
 725 , Eesti Ekspress 15.03.17 Abilinnapea Arvo Sarapuu on variisikute kaudu sisenenud Tallinna prügiärisse ," Kaebaja leiab, et artikkel koos kahe jätkulooga sisaldab valeinfot. Kaebaja ei ole rahul, et talle sõna ei antud. ",27.04.17,õigeksmõistev,ÕIGEKSMÕISTEV: Eesti Ekspress ei ole artiklitega eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul olid artiklid keskendunud Arvo Sarapuu ja Tallinna prügiäris eduka firma seostele ja antud teemat sai kaebaja ka kommenteerida. ,[],Eesti Ekspress
 724 , Õhtuleht 16.07.17 Ulatuslik lageraie Viimsis ajas jalule nii inimesed kui ka põdrad , Kaebajate hinnangul sisialdab artikkel valefakte ja on halvustav. ,27.04.17,õigeksmõistev,"ÕIGEKSMÕISTEV: Õhtuleht ei rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul ei ole eksitav väide, et 1990. aastate algul võeti Kelvingi küla maadel metsa maha. Lisaks ei ole alust kahelda allika väites, et metsa võeti maha ka küla rajamisel. ",[],Õhtuleht
 722 , Postimehe veeb 28.02.17 Sugulaste rumalus tekitas lapsele hiigelvõla ," Kaebajad ei ole rahul, et neile sõna ei antud ja leiavad, et artikkel on ebatäpne ja eksitav. ",27.04.17,tauniv,"TAUNIV: Postimehe veeb rikkus ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu hinnangul on kaebajaid käsitletud kritiseeritava osapoolena ja seetõttu oleks pidanud neile suuremas mahus sõna andma. ",['4.2'],Postimees
